"lat","long","magnitude","depth"
-38.53192,175.89095,3.297,145.6492
-39.18707,175.12091,3.203,167.7996
-41.26117,172.80078,2.954,146.0299
-38.66093,178.45897,3.016,26.9505
-38.67284,178.44443,2.617,27.6279
-37.70069,177.15997,2.763,75.4988
-38.65271,178.48654,2.732,27.7713
-46.11478,165.97116,2.877,12
-37.76868,176.8302,1.854,5
-39.55564,176.96667,2.216,31.6253
-37.10727,177.33371,3.15,147.2107
-45.11929,167.42566,3.01,123.4463
-44.91288,169.18988,2.399,5
-39.53932,177.12679,2.779,29.217
-38.78327,175.28923,3.818,214.4187
-39.54053,177.16545,2.419,29.6712
-41.63656,171.77351,1.906,5
-40.00347,176.69669,2.335,32.9961
-40.89267,175.69145,1.921,27.3021
-38.6839,178.40306,2.711,25.9834
-39.23866,175.33221,1.568,16.6305
-39.64867,176.22743,1.678,30.8327
-36.69229,177.63464,3.153,12
-40.93703,174.68672,2.296,41.8591
-38.65858,176.28633,2.08,5
-39.51094,175.70345,1.731,13.4515
-40.22554,176.30444,2.488,32.5905
-38.67591,178.40977,2.595,25.4902
-38.6995,178.4873,2.593,33
-45.56338,167.39148,3.108,121.2201
-41.02127,175.11276,2.224,29.2546
-40.04388,176.75232,1.728,30.3254
-39.14148,175.63152,2.252,5
-39.50771,175.7092,1.968,13.3248
-47.2319,166.37604,3.245,5
-41.71509,172.12083,,110.0382
-40.60702,175.85303,1.591,32.1014
-41.41792,173.01994,1.955,108.6003
-41.72004,172.1983,1.953,100.8728
-38.66097,178.42998,2.222,28.113
-38.64753,178.4467,2.431,27.828
-39.51218,175.70979,1.607,13.8752
-40.15846,174.21655,2.448,108.663
-39.08588,174.69659,2.388,204.7742
-43.40168,173.05365,2.561,27.9864
-38.57737,175.81444,3.746,166.1698
-40.88629,172.9102,2.591,5
-42.26005,172.75626,1.784,5
-40.60239,175.00514,2.294,39.3212
-40.07014,176.60176,1.963,47.6133
-41.53877,173.46613,2.33,58.4894
-39.49162,175.7141,1.689,13.8602
-45.71702,166.81929,2.357,5
-39.51199,175.70964,1.584,13.9251
-39.77033,176.68158,3.354,49.654
-40.11306,174.90146,2.476,12
-37.11361,176.88222,2.937,227.2865
-38.59224,176.87868,1.995,12
-38.29942,177.35632,2.311,51.3527
-38.49891,176.06575,3.109,165.9558
-40.31435,176.57321,1.468,12.3439
-38.90725,178.5508,1.951,31.3897
-38.92757,178.52109,2.322,30.6236
-37.36,177.69505,2.98,90.0724
-38.70099,178.49953,2.118,28.6073
-39.53605,177.31966,1.866,12
-37.81061,177.54108,3.07,48.3417
-41.27722,175.29765,1.972,26.61
-37.72208,179.2048,3.149,12
-37.85845,176.32196,3.714,176.7542
-38.89895,175.8645,1.609,5
-39.29117,175.34616,,0
-39.3262,177.07152,2.244,31.9159
-38.90272,175.82277,1.083,5
-44.96734,167.67465,2.297,84.8525
-38.71307,178.55402,2.357,29.8099
-38.67615,178.45227,2.678,26.9569
-38.65998,178.54932,2.454,29.8114
-41.08559,175.06352,2.458,30.4221
-38.69477,178.4937,2.512,28.3084
-38.78769,176.50011,2.356,60.1823
-39.62893,174.68777,2.879,108.5401
-36.48835,179.87093,2.895,33
-37.792,176.74452,1.937,5
-40.1769,174.87852,3.032,12
-37.35735,176.681,3.92,218.8002
-42.67142,172.8725,1.881,28.46
-37.73327,179.17273,3.039,12
-39.6366,175.42795,2.011,17.3767
-44.40107,169.59529,3.026,12
-44.37314,169.60344,2.08,12
-40.20185,174.85896,2.011,12
-40.19656,176.34538,2.123,53.1283
-38.67522,178.48024,2.638,62.9238
-38.23128,178.30434,2.725,33
-38.19678,178.33025,2.523,33
-42.76271,171.77415,2.033,12
-35.95763,177.97935,3.169,190.1847
-40.85582,175.76752,2.026,29.6507
-38.19855,177.87071,2.911,31.6561
-42.28562,173.81535,1.808,28.5857
-39.88124,176.18109,1.657,28.9274
-39.89632,176.16531,1.369,29.5347
-39.51306,177.20905,1.912,27.7922
-39.4357,177.27507,1.236,29.7874
-48.1185,165.41182,2.959,33
-38.6091,178.60008,2.523,27.8655
-38.97981,175.63873,2.574,107.6322
-39.48763,175.68893,2.07,13.8187
-41.20277,174.65662,2.533,34.3838
-35.95686,177.955,3.187,165.6794
-40.1641,176.53107,1.686,29.2503
-40.32153,174.41061,2.088,67.0624
-39.21908,175.09377,1.69,30.3172
-40.17149,173.76924,3.808,161.2845
-39.55337,175.68262,,59.7485
-36.89989,178.09726,3.057,12
-42.07835,174.97079,2.401,33
-37.84647,178.60143,2.237,48.7247
-38.08274,176.74593,3.189,3.4223
-38.65184,178.58458,2.543,33
-44.25375,170.01332,2.806,12
-38.6452,178.43195,2.531,26.1159
-41.65786,173.88626,1.617,13.1875
-39.90458,176.36562,2.166,29.6244
-45.39071,166.96417,2.071,58.9652
-39.35032,175.72189,2.512,69.3221
-38.60332,178.71446,2.334,33
-41.59719,173.40437,,57.3977
-36.75562,177.6907,2.405,242.3542
-39.88716,174.24956,2.021,126.6403
-38.45177,175.89369,3.631,145.6583
-38.0395,176.3947,2.843,135.6278
-41.10434,173.62685,2.033,61.1934
-41.34408,173.58997,2.101,77.3834
-45.13506,167.47849,2.23,81.7114
-40.13201,176.56087,2.482,49.5535
-39.3445,175.216,1.644,9.1853
-40.07401,176.10405,2.369,37.826
-39.37669,175.07004,2.29,29.4892
-40.32227,176.55592,2.075,16.9154
-40.20589,174.49052,2.108,12
-41.81959,172.19426,,89.2068
-45.03474,167.46478,3.093,98.7118
-39.50785,175.70993,1.679,13.0305
-39.87057,173.85933,2.763,132.8365
-39.49654,175.70218,2.112,12.2735
-39.04413,177.69244,2.362,28.1743
-39.82494,176.91292,2.834,43.1173
-40.40956,174.18799,2.425,75.4759
-38.82122,177.94432,2.013,27.8316
-43.89892,169.28268,2.224,12
-43.93468,169.29675,2.006,5
-40.42681,176.58704,2.758,10.4005
-40.16738,174.30524,2.385,33
-41.6748,172.42053,1.76,12
-38.67385,178.49776,2.738,48.7497
-39.24934,175.42996,1.688,14.6132
-40.86992,174.74675,2.57,13.9296
-41.47881,173.16939,1.871,73.3971
-40.46425,176.66481,2.087,5
-39.90681,176.75946,2.57,47.7139
-35.74343,178.60013,3.497,159.5684
-38.24149,176.11627,3.114,150.2625
-43.57646,170.60907,2.045,5
-39.3352,177.04051,2.429,30.8292
-37.44006,178.33293,3.451,46.4903
-41.46867,172.87637,3.878,121.8367
-43.49053,171.59967,4.253,5
-43.48248,171.61632,2.543,5
-38.67364,178.50865,3.332,24.8845
-43.47331,171.58484,2.233,5
-43.51427,171.65044,2.274,12
-40.3241,174.37511,2.181,86.0272
-43.48529,171.61221,2.156,5
-39.46609,177.13715,2.205,36.3763
-44.97585,167.4416,3.02,89.7247
-39.637,177.03221,2.481,34.9473
-45.1278,167.48767,3.013,126.8887
-45.11806,167.44075,2.856,94.7441
-39.81405,174.18327,2.911,127.7964
-38.45439,178.0472,2.315,29.3547
-40.77665,176.17058,2.307,23.4617
-44.00826,168.93518,2.301,5
-38.77751,178.67294,2.707,31.1275
-37.42224,178.34264,2.516,44.4132
-39.62682,176.75542,1.962,38.0743
-41.88303,174.15294,2.322,15.5585
-40.06526,176.48346,2.387,42.7896
-38.7634,178.31573,2.376,30.1108
-40.10086,174.95465,2.151,26.2972
-40.3502,173.4888,2.814,149.4875
-39.27292,175.12561,2.716,27.2732
-39.50383,175.68112,1.809,15.1754
-39.74798,176.14098,3.222,54.7543
-41.41655,173.47845,2.285,82.9865
-40.40415,176.58194,2.454,9.3455
-38.92068,175.83696,2.159,5
-38.91933,175.8334,1.71,5.8731
-44.66928,168.052,2.334,79.2895
-38.22563,178.26065,2.375,26.9031
-38.90995,175.85161,1.77,5
-38.29668,178.31468,2.776,21.9677
-38.91625,175.83746,1.691,5.9531
-41.69785,172.23071,2.069,5
-39.65038,176.80345,2.139,31.5025
-41.89436,171.94258,1.87,5
-41.28071,175.20787,1.513,23.1028
-37.15252,177.78346,2.417,104.6241
-38.09089,175.99432,2.769,199.7018
-41.07155,172.88011,2.708,181.1747
-38.86629,177.55336,1.776,30.224
-37.83928,176.64745,1.747,5
-39.19416,175.13416,3.227,25.3254
-38.03241,176.78894,2.064,5
-39.19094,175.13498,1.955,12
-38.67834,178.4912,2.415,29.0298
-40.3974,176.22882,1.523,30.6711
-47.2585,165.79729,4.201,5
-45.65056,166.69571,3.705,12
-39.796,173.97394,2.944,189.4015
-40.05096,176.7464,1.832,48.8019
-40.31627,176.56096,2.562,30.6906
-38.03302,176.8013,2.281,5.266
-45.48392,167.01617,2.512,74.7296
-43.24356,173.19429,2.1,12
-39.61845,176.71281,1.869,32.4915
-38.69109,178.57623,3.559,33
-40.94142,174.48424,2.354,69.9143
-38.33209,177.94002,2.438,30.5973
-38.69904,178.54091,3.532,28.2292
-38.68966,178.42659,2.364,25.878
-38.67009,178.37164,2.504,25.167
-43.46035,171.66136,2.053,5
-45.05179,167.44431,2.276,52.882
-39.49026,175.70709,2.731,11.5845
-39.51077,175.71259,1.753,13.8473
-40.21344,176.42162,2.477,48.8439
-43.51881,171.6396,2.506,5
-38.04071,176.80435,2.245,5
-45.10626,167.43117,2.341,84.8887
-38.24853,178.3446,2.943,30.8589
-39.49573,175.71368,1.684,14.0904
-39.50751,175.70714,1.838,13.7637
-40.03402,176.80804,2.787,44.692
-39.71959,176.93919,2.171,34.8536
-38.60891,176.40952,2.296,5
-38.11086,177.01852,2.055,5
-40.36577,176.31351,1.639,24.1401
-42.28457,172.67569,2.493,5
-46.31028,166.72604,2.481,5
-39.61202,176.91638,2.57,32.6311
-40.88042,174.75224,2.009,17.9633
-39.27947,173.79535,2.483,21.7769
-38.8849,177.99867,2.708,28.2742
-39.3481,173.87781,1.898,27.0359
-38.0278,176.80051,1.902,5
-38.35171,178.40799,2.396,12
-39.28482,173.83144,1.881,23.1951
-39.74415,176.85158,2.47,45.0282
-37.22775,177.25237,3.315,134.0964
-43.51015,171.64442,1.707,5
-38.61267,176.4059,1.927,5
-38.68587,178.43462,2.91,24.7181
-45.34767,167.21988,2.887,109.0821
-41.88088,171.89095,1.939,12
-39.27773,173.82693,1.225,24.3514
-39.29342,173.84364,1.41,23.5154
-40.65604,176.36682,2.237,28.0409
-37.39257,177.13168,3.242,137.588
-39.51191,175.70967,1.523,13.9231
-40.87634,172.92079,2.314,5
-39.54856,177.11009,2.073,32.2353
-40.32326,176.54718,1.611,19.1184
-44.93909,169.91135,1.842,5
-40.3502,176.31474,1.618,30.3635
-38.53519,177.89911,1.7,24.8641
-38.99367,175.18095,1.351,5
-39.78738,177.26416,2.239,23.7313
-40.87278,172.91631,2.109,5
-39.79191,176.84995,1.849,35.5268
-39.90605,176.8409,3.325,53.2274
-40.10302,176.29324,2.695,20.2899
-37.44797,176.56187,2.834,182.1872
-39.20853,173.83942,2.14,11.2771
-39.67465,175.74683,2.129,12
-38.44191,175.99522,3.095,154.9599
-38.8208,174.54466,1.916,12
-39.80689,176.92255,1.875,25.7434
-38.69726,178.50374,2.788,28.3255
-38.64866,178.45943,1.592,28.8352
-39.94027,176.59367,1.648,42.2198
-38.37937,178.52245,2.508,26.7405
-38.71404,178.59645,2.797,44.7883
-41.89128,171.94264,2.414,5
-41.89041,171.93608,1.571,5
-39.12284,175.6667,1.292,3.4932
-38.34991,176.29385,3.933,116.937
-39.21339,174.77043,3.591,223.1508
-44.68201,168.4431,1.908,5
-41.16741,175.06273,1.937,19.7984
-41.33172,172.38678,2.31,5
-37.875,176.45625,2.332,143.2687
-44.37347,169.1096,1.636,12
-39.20819,174.77782,1.706,31.6146
-37.78866,176.7677,2.262,5
-41.24387,172.97372,2.478,98.6092
-41.40049,174.00401,2.759,74.6919
-43.92633,173.10605,2.007,25.2527
-40.61385,176.49701,2.031,32.0523
-40.61197,173.95876,1.724,65.4416
-45.46095,166.98163,2.473,75.0513
-40.78767,176.20616,1.845,30.7272
-40.30853,176.34988,1.588,28.2885
-39.29481,177.13953,1.788,29.5938
-40.64487,174.80019,1.897,33
-39.28001,175.56,0.546,0
-38.68823,178.42661,2.329,21.8292
-41.95869,172.19643,2.496,84.2382
-39.48396,175.70294,2.658,12
-39.65546,176.83057,1.904,32.3027
-41.56751,174.28055,1.912,18.9951
-40.29974,176.21306,1.753,23.1641
-39.49956,175.68738,1.786,12.6053
-39.50551,175.71555,1.615,14.1142
-38.7034,178.48952,2.898,25.1229
-46.1479,167.77776,2.486,12
-39.28001,175.56,0.605,0
-46.14335,167.78915,4.512,12
-40.43352,174.48334,2.204,33
-39.13845,176.68433,2.339,70.1977
-39.22998,177.52432,2.193,53.6663
-41.23898,175.23622,1.922,18.6749
-41.711,174.01337,2.551,7.4354
-40.05103,176.59737,2.05,43.2566
-38.68184,178.6111,2.728,29.9888
-40.65381,175.43823,2.007,29.0183
-37.88113,179.09053,2.556,33
-41.79701,172.23915,2.303,5
-43.48604,171.60712,2.326,5
-40.69132,176.02278,1.683,28.5888
-40.40556,176.20674,2.599,29.9406
-39.09626,177.40111,2.612,30.6799
-38.32006,178.49915,2.559,35.8247
-39.62381,176.96251,2.75,39.4698
-39.22243,174.82312,3.225,207.6314
-38.82045,175.61609,2.674,138.7989
-38.20432,175.96918,2.801,108.3319
-40.75987,174.73291,1.731,12
-37.04256,177.26286,2.75,161.6791
-39.17907,173.86189,2.334,18.3448
-40.26932,175.10081,1.63,5
-40.72073,176.35878,2.09,27.2275
-41.5942,173.49905,1.936,51.0681
-39.62804,173.42915,2.3,12
-45.02331,167.44289,2.994,84.3985
-41.46702,173.19003,2.372,71.7632
-40.81814,175.14951,1.154,12.1776
-41.50373,175.52844,1.834,19.9681
-38.6867,178.46095,2.727,25.4854
-38.55763,177.85188,1.63,29.1163
